('0400081000', '3335000260', '3335100360', '0', '0.0', '2016-12-11 10:13:58')
('0400081000', '3335000260', '3335100360', '0', '40.0', '2016-12-11 10:56:25')
('0400081000', '3335000260', '3335100360', '0', '70.0', '2016-12-11 10:21:14')
('0400081000', '3335000320', '3335000220', '1', '0.0', '2016-12-11 10:16:31')
('0400081000', '3335000320', '3335000220', '1', '0.0', '2016-12-11 10:23:08')
('0400081000', '3335000320', '3335000220', '1', '29.0', '2016-12-11 10:57:48')
('0400081000', '3335100000', '2425700900', '1', '0.0', '2016-12-11 10:20:04')
('0400081000', '3335100040', '3335100160', '0', '21.0', '2016-12-11 10:20:04')
('0400081000', '3335100040', '3335100160', '0', '211.0', '2016-12-11 10:55:45')
('0400081000', '3335100120', '3335100000', '1', '2052.0', '2016-12-11 10:58:22')
('0400081000', '3335100120', '3335100000', '1', '300.0', '2016-12-11 10:24:10')
('0400081000', '3335100160', '3335000260', '0', '0.0', '2016-12-11 10:20:04')
('0400081000', '3335100160', '3335000260', '0', '0.0', '2016-12-11 10:55:45')
('0400081000', '3335100360', '3335000060', '0', '0.0', '2016-12-11 10:21:14')
('0400081000', '3335100360', '3335000060', '0', '0.0', '2016-12-11 10:56:25')
('0400081000', '3335100360', '3335000060', '0', '40.0', '2016-12-11 10:14:38')
